Movie Hebrew name,Movie name,Extra name,Year,Movie type,Grade,Lead actor\ess,Language
,I giorni dell'ira,Day of Anger,1967,Western,Less,Lee Van Cleef,English
מרכבת המלחמה,The War Wagon,,1967,Western,OK,John Wayne,English
ספר הג'ונגל,The Jungle Book,,1967,Animated,Good,,English
בוני וקלייד,Bonnie and Clyde,,1967,Action,OK,Warren Beatty,English
007 - אתה חי רק פעמיים,You Only Live Twice,,1967,Action,Good,Sean Connery,English
,A Guide for the Married Man,,1967,Comedy,Good,Walter Matthau,English
,Casino Royale,,1967,Comedy,Less,Peter Sellers,English
הבוגר,The Graduate,,1967,Comedy,Good,Dustin Hoffman,English
רומיאו ויוליה,Romeo and Juliet,,1968,Drama,Pass,,English
2001 אודיסאה בחלל,2001: A Space Odyssey,,1968,SF,OK,,English
כוכב הקופים,Planet of the Apes,,1968,SF,OK,Charlton Heston,English
מצחיקונת,Funny Girl,,1968,Musical,OK,Barbra Streisand,English
צוללת צהובה,Yellow Submarine,,1968,Musical,Good,The Beatles,English
תחנת זברה אינה עונה,Ice Station Zebra,,1968,War,OK,,English
הכומתות הירוקות,The Green Berets,,1968,War,OK,John Wayne,English
הנשרים פשטו עם שחר,Where Eagles Dare,,1968,War,Great,Clint Eastwood,English
,Blue,,1968,Western,Less,Terence Stamp,English
,Se incontri Sartana prega per la tua morte,If You Meet Sartana Pray for Your Death,1968,Western,OK,,English
אסטריקס וקליאופטרה,Astérix et Cléopâtre,Asterix and Cleopatra,1968,Animated,Good,,English
תעתועי שחור הזקן,Blackbeard's Ghost,,1968,Family,Less,,English
צ'יטי צ'יטי בנג בנג,Chitty Chitty Bang Bang,,1968,Family,Less,Dick Van Dyke,English
הזוג המוזר,The Odd Couple,,1968,Comedy,Good,Walter Matthau,English
המסיבה,The Party,,1968,Comedy,Less,Peter Sellers,English
המקועקע,The Tattoo,Le Tatoue,1968,Comedy,Pass,Louis de Funès,French
אדם בעקבות גורלו,Easy Rider,,1969,Drama,Less,Dennis Hopper,English
קאובוי של חצות,Midnight Cowboy,,1969,Drama,OK,Dustin Hoffman,English
לול,לול,,1969,Israeli,OK,Arik Einstein,Hebrew
תעלת בלאומילך,תעלת בלאומילך,The Big Dig,1969,Israeli,OK,Shaike Ophir,Hebrew
צבא הצללים,L'Armée des Ombres,Army of Shadows,1969,Thriller,OK,,French
הג'וב האיטלקי,The Italian Job,,1969,Thriller,OK,Michael Caine,English
טופז,Topaz,,1969,Thriller,Good,Alfred Hitchcock,English
,Battle of Britain ,,1969,War,Good,Michael Caine,English
,Osvobozhdenie,The Great Battle,1969,War,OK,,Russian
,The Battle of Neretva,,1969,War,OK,Yul Brynner,English
,The Bridge at Remagen,,1969,War,OK,,English
קיד וקסידי,Butch Cassidy and the Sundance Kid,,1969,Western,Very good,Paul Newman,English
היו זמנים במערב,C'era una Volta il West,Once Upon a Time in the West,1969,Western,OK,Henry Fonda,English
המכורים לזהב,Paint Your Wagon,,1969,Western,Less,Clint Eastwood,English
הנשרים הם רעבים,Two Mules for Sister Sara,,1969,Western,Very good,Clint Eastwood,English
007 - בשרות הוד מלכותה,On Her Majesty's Secret Service,,1969,Action,OK,George Lazenby,English
פרח הקקטוס,Cactus Flower,,1969,Comedy,Good,Walter Matthau,English
רסיסי חיים,Five Easy Pieces,,1970,Drama,Less,Jack Nicholson,English
הגן של פינצי קונטיני,Il Giardino dei Finzi-Contini,The Garden of the Finzi-Continis,1970,Drama,OK,,Italian
סיפור אהבה,Love Story,,1970,Drama,OK,Ryan O'Neal,English
כיסאות לוהטים,The Twelve Chairs ,,1970,Drama,Less,,English
איש קטן גדול,Little Big Man,,1970,Drama,OK,Dustin Hoffman,English
השוטר אזולאי,השוטר אזולאי,,1970,Israeli,Very good,Shaike Ophir,Hebrew
כוכב הקופים 2,Beneath the Planet of the Apes,,1970,SF,OK,,English
,Airport,,1970,Thriller,OK,Burt Lancaster,English
מילכוד 22,Catch-22,,1970,War,OK,Alan Arkin,English
הנועזים בעורף האויב,Kelly's Heroes,,1970,War,Good,Clint Eastwood,English
מ.א.ש,MASH,,1970,War,OK,Elliott Gould,English
פאטון,Patton,,1970,War,OK,,English
,Tora! Tora! Tora!,,1970,War,OK,,English
החפרפרת,El topo,,1970,Western,Bad,,Spanish
חייל בכחול,Soldier Blue,,1970,Western,OK,Peter Strauss,English
התפוז המכני,A Clockwork Orange,,1971,Drama,Good,,English
נערת הטלפון והבלש,Klute,,1971,Drama,Less,Donald Sutherland,English
מיסטי,Play Misty for Me,,1971,Drama,Less,Clint Eastwood,English
הצגת הקולנוע האחרונה,The Last Picture Show,,1971,Drama,Less,Cybill Shepherd,English
כוכב הקופים 3,Escape from the Planet of the Apes,,1971,SF,OK,,English
טי. אייץ'. איקס 1138,THX 1138,,1971,SF,Less,Robert Duvall,English
כנר על הגג,Fiddler on the Roof,,1971,Musical,Very good,Topol,English
הארי המזוהם,Dirty Harry,,1971,Thriller,Good,Clint Eastwood,English
קולומבו,Murder by the Book,,1971,Thriller,OK,Peter Falk,English
כלבי הקש,Straw Dogs,,1971,Thriller,OK,Dustin Hoffman,English
הקשר הצרפתי,The French Connection,,1971,Thriller,OK, Gene Hackman,English
,The Organization,In the Heat of the Night 3,1971,Thriller,Less,Sidney Poitier,English
דואל,Duel,דו קרב,1971,Thriller,Less,,English
בעד חופן דינמיט,Giù la Testa,A Fistful of Dynamite,1971,Western,Less,James Coburn,English
שמש אדומה,Soleil rouge,Red Sun,1971,Western,Good,Charles Bronson,English
,The Hunting Party,,1971,Western,Less,Gene Hackman,English
,Trinity Is Still My Name,Continuavano a chiamarlo Trinità,1971,Western,OK,,English
ווילי וונקה ומפעל השוקולד,Willy Wonka & the Chocolate Factory,,1971,Family,OK,Gene Wilder,English
007 - יהלומים לנצח,Diamonds are Forever,,1971,Action,Good,Sean Connery,English
שאפט,Shaft,,1971,Action,Less,,English
נקודת היעלמות,Vanishing Point,,1971,Action,Less,Viggo Mortensen,English
חסמב''ה ונערי הסוסים,חסמב''ה ונערי הסוסים,,1971,Action,Less,Ze'ev Revach,Hebrew
,Delusions of Grandeur,La folie des grandeurs,1971,Comedy,Pass,Louis de Funès,French
,The Magnificent Seven Deadly Sins,,1971,Comedy,Bad,,English
הסנדק,The Godfather,,1972,Drama,Great,Al Pacino,English
נורית,נורית,,1972,Drama,Less,Yona Elian,Hebrew
,The Unholy Rollers,,1972,Drama,OK,,English
הרפתקה בפוסידון,The Poseidon Adventure,,1972,Adventure,OK,Gene Hackman,English
מציצים,מציצים,,1972,Israeli,Good,Arik Einstein,Hebrew
כוכב הקופים 4,Conquest of the Planet of the Apes,,1972,SF,OK,,English
גברים במלכודת,Deliverance,,1972,Thriller,OK,Burt Reynolds,English
פרנזי,Frenzy,,1972,Thriller,Less,Alfred Hitchcock,English
משחקי בילוש,Sleuth,,1972,Thriller,Less,Michael Caine,English
